Date,Hybrid_PnL,Win_Month
2023-01-31,0.0,False
2023-02-28,0.0,False
2023-03-31,0.0,False
2023-04-30,0.0,False
2023-05-31,0.0,False
2023-06-30,0.0,False
2023-07-31,0.0,False
2023-08-31,0.016084899646869367,True
2023-09-30,-0.08136890861110668,False
2023-10-31,-0.017992337502238304,False
2023-11-30,0.0,False
2023-12-31,0.0,False
2024-01-31,0.0,False
2024-02-29,0.0,False
2024-03-31,0.0,False
2024-04-30,0.0,False
2024-05-31,0.0,False
2024-06-30,-0.015342476362678105,False
2024-07-31,-0.03706119339699057,False
2024-08-31,0.038609039023726345,True
2024-09-30,-0.06670382767036559,False
2024-10-31,-0.08324165850264492,False
2024-11-30,0.0,False
2024-12-31,0.0,False
